bin_index,g10117,g11582,g11803,g12376,g12699,g12957,g13452,g13694,g14309,g15590,g16100,g16193,g16573,g17091,g17615,g17709,g17804,g18331,g18876,g19810,g20539,g22170,g22623,g22831,g23858,g23863,g24017,g25572,g25973,g26048,g26126,g27510,g28414,g29025,g29330,g29331,g4981,g5226,g5584,g5709,g5902,g6091,g7343,g7695,g8588,g9741
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0
3,0,0,1,2,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,1,1,0,0,0,1,0
4,1,0,2,1,2,0,0,0,0,3,0,1,0,1,0,1,4,0,1,1,0,2,0,2,0,0,1,0,0,3,0,2,3,0,0,0,2,2,0,1,1,1,3,0,3,0
5,0,0,5,2,6,0,0,2,1,1,0,0,0,0,2,2,4,0,5,0,3,5,0,3,1,0,0,0,0,1,0,3,4,2,0,0,2,1,0,2,2,1,1,0,2,0
6,1,0,5,0,1,2,0,0,0,4,0,0,0,3,1,2,4,0,2,2,2,5,1,3,1,0,4,0,2,2,0,1,5,2,0,0,1,0,0,0,4,0,0,1,2,0
7,0,0,1,5,3,0,0,0,0,2,0,2,1,4,3,3,4,0,3,1,1,1,0,5,1,0,3,0,2,6,0,2,2,3,0,0,4,0,0,1,3,2,0,5,2,0
8,1,5,1,2,5,0,2,1,1,2,1,3,0,4,5,5,1,1,1,3,3,1,0,2,3,1,5,1,3,3,0,6,1,2,0,0,0,2,0,5,6,0,5,3,4,2
9,2,1,1,4,0,0,1,3,5,3,3,0,3,3,2,2,1,2,3,5,2,0,2,0,7,1,3,2,7,4,1,0,1,5,0,0,2,0,0,4,0,3,3,3,3,0
10,1,6,1,1,1,4,5,3,3,0,2,2,1,2,3,2,0,1,2,5,4,2,2,2,4,2,0,0,1,0,2,2,0,1,0,0,2,2,3,2,2,5,1,4,2,2
11,7,3,0,0,0,2,5,7,2,0,0,4,1,0,2,2,0,6,0,2,1,0,5,1,1,1,1,2,2,0,0,2,0,2,0,0,0,5,2,2,0,2,2,3,0,2
12,5,4,0,1,0,6,5,3,2,0,6,2,5,0,0,0,0,7,0,0,0,0,4,0,0,4,0,4,1,0,5,1,0,0,0,0,0,4,5,1,0,2,4,0,0,2
13,1,0,0,0,0,4,1,0,3,0,5,3,7,0,0,0,0,2,0,0,0,0,5,0,0,7,0,4,0,0,6,0,0,1,1,0,0,3,3,0,0,2,0,0,0,4
14,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,4,0,0,0,0,1,0,0,6,0,0,0,0,0,0,7
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
